Product,Quantity,Region,Production Method,Water Footprint (L),Category,Water Scarcity Index,Scarcity Level,Alternative Method,Potential Water Savings (%)
Glass Bottle,100,South America,Recycled,35918.46,Other,0.6,Medium-High,Efficient Method,20
Bed,20,North America,Industrial,149960.42,Furniture,0.3,Low,Organic,25
Mobile Phone,200,South America,Recycled,252323.16,Other,0.6,Medium-High,Efficient Method,20
Cotton Shirt,1,Europe,Recycled,2958.85,Other,0.4,Medium,Efficient Method,20
Wood,10,Africa,Organic,2773.0,Raw Material,0.8,Very High,Efficient Method,20
Steel,50,Australia,Industrial,2434.49,Raw Material,0.5,Medium,Recycled Steel,40
Bicycle,50,North America,Organic,714646.88,Other,0.3,Low,Efficient Method,20
Wood,10,Australia,Organic,2819.35,Raw Material,0.5,Medium,Efficient Method,20
Chair,50,South America,Conventional,134478.26,Other,0.6,Medium-High,Efficient Method,20
Leather Bag,200,South America,Conventional,3590082.8,Other,0.6,Medium-High,Efficient Method,20
Bicycle,5,Europe,Industrial,67996.89,Other,0.4,Medium,Efficient Method,20
Sofa,1,North America,Industrial,9689.4,Other,0.3,Low,Efficient Method,20
Car,20,North America,Organic,3005441.93,Vehicle,0.3,Low,Efficient Method,20
Bicycle,1,North America,Industrial,14293.8,Other,0.3,Low,Efficient Method,20
Car,200,South America,Organic,27910945.51,Vehicle,0.6,Medium-High,Efficient Method,20
Corn,50,Australia,Conventional,57599.7,Other,0.5,Medium,Efficient Method,20
Corn,50,Europe,Recycled,62550.79,Other,0.4,Medium,Efficient Method,20
Glass Bottle,200,Europe,Handmade,78069.08,Other,0.4,Medium,Efficient Method,20
Table,5,Africa,Industrial,27334.87,Furniture,0.8,Very High,Efficient Method,20
Leather Bag,5,Africa,Handmade,86021.63,Other,0.8,Very High,Efficient Method,20
Bed,50,Europe,Recycled,411414.76,Furniture,0.4,Medium,Efficient Method,20
Sofa,10,North America,Recycled,86598.47,Other,0.3,Low,Efficient Method,20
Paper,100,Australia,Organic,928.04,Stationery,0.5,Medium,Efficient Method,20
Mobile Phone,5,Africa,Organic,5571.25,Other,0.8,Very High,Efficient Method,20
Steel,50,South America,Conventional,2295.13,Raw Material,0.6,Medium-High,Efficient Method,20
Laptop,200,Africa,Handmade,1824010.76,Electronics,0.8,Very High,Efficient Method,20
Glass Bottle,100,Australia,Recycled,35977.62,Other,0.5,Medium,Efficient Method,20
Rice,10,Africa,Conventional,23254.14,Food,0.8,Very High,Efficient Method,20
Car,20,Europe,Organic,3103920.95,Vehicle,0.4,Medium,Efficient Method,20
Glass Bottle,50,Africa,Recycled,17302.52,Other,0.8,Very High,Efficient Method,20
Glass Bottle,200,Australia,Handmade,75196.62,Other,0.5,Medium,Efficient Method,20
Mobile Phone,10,North America,Organic,12056.76,Other,0.3,Low,Efficient Method,20
Bicycle,1,Europe,Handmade,14125.73,Other,0.4,Medium,Efficient Method,20
Paper,200,Asia,Organic,1965.53,Stationery,0.7,High,Efficient Method,20
Sofa,5,North America,Industrial,42962.92,Other,0.3,Low,Efficient Method,20
Table,10,Europe,Organic,50527.36,Furniture,0.4,Medium,Efficient Method,20
Car,20,South America,Organic,3000882.64,Vehicle,0.6,Medium-High,Efficient Method,20
Cotton Shirt,200,North America,Conventional,554272.98,Other,0.3,Low,Efficient Method,20
Mobile Phone,200,South America,Conventional,243271.89,Other,0.6,Medium-High,Efficient Method,20
Plastic,20,South America,Organic,3950.93,Other,0.6,Medium-High,Efficient Method,20
Cotton Shirt,10,Australia,Organic,26493.73,Other,0.5,Medium,Efficient Method,20
Almonds,5,Australia,Handmade,58399.82,Other,0.5,Medium,Efficient Method,20
Laptop,10,Europe,Conventional,108944.93,Electronics,0.4,Medium,Efficient Method,20
Almonds,20,Africa,Industrial,229749.09,Other,0.8,Very High,Efficient Method,20
Glass Bottle,100,Africa,Recycled,39322.9,Other,0.8,Very High,Efficient Method,20
Wood,5,North America,Organic,1393.85,Raw Material,0.3,Low,Efficient Method,20
Sofa,20,Australia,Handmade,185853.2,Other,0.5,Medium,Efficient Method,20
Wood,50,Africa,Conventional,13520.95,Raw Material,0.8,Very High,Efficient Method,20
Sofa,10,South America,Conventional,91321.06,Other,0.6,Medium-High,Efficient Method,20
Table,100,Asia,Handmade,486178.42,Furniture,0.7,High,Engineered Wood,20
Tomatoes,10,Africa,Recycled,2127.69,Other,0.8,Very High,Efficient Method,20
Almonds,5,Australia,Industrial,57396.03,Other,0.5,Medium,Efficient Method,20
Car,10,Africa,Conventional,1527321.04,Vehicle,0.8,Very High,Efficient Method,20
Table,100,Australia,Recycled,518006.64,Furniture,0.5,Medium,Efficient Method,20
Corn,20,North America,Conventional,24875.08,Other,0.3,Low,Efficient Method,20
Steel,200,Asia,Handmade,10334.44,Raw Material,0.7,High,Efficient Method,20
Paper,200,North America,Industrial,2188.39,Stationery,0.3,Low,Recycled Paper,45
Tomatoes,1,Asia,Handmade,222.3,Other,0.7,High,Efficient Method,20
Table,10,Africa,Organic,52891.88,Furniture,0.8,Very High,Efficient Method,20
Bed,50,Australia,Organic,430886.89,Furniture,0.5,Medium,Efficient Method,20
Rice,200,South America,Recycled,501960.06,Food,0.6,Medium-High,Efficient Method,20
Car,50,South America,Recycled,8094009.22,Vehicle,0.6,Medium-High,Efficient Method,20
Almonds,100,Africa,Handmade,1028776.88,Other,0.8,Very High,Efficient Method,20
Laptop,50,Europe,Conventional,541928.78,Electronics,0.4,Medium,Efficient Method,20
Chair,50,Australia,Organic,117316.16,Other,0.5,Medium,Efficient Method,20
Bicycle,1,North America,Organic,15983.23,Other,0.3,Low,Efficient Method,20
Leather Bag,200,Australia,Recycled,3421763.76,Other,0.5,Medium,Efficient Method,20
Wheat,10,South America,Recycled,19343.92,Other,0.6,Medium-High,Efficient Method,20
Cotton Shirt,10,North America,Industrial,25086.1,Other,0.3,Low,Efficient Method,20
Rice,5,Europe,Industrial,12904.51,Food,0.4,Medium,Efficient Method,20
Leather Bag,20,Europe,Industrial,338711.77,Other,0.4,Medium,Efficient Method,20
Tomatoes,10,Australia,Organic,2189.58,Other,0.5,Medium,Efficient Method,20
Chair,10,Europe,Organic,22625.61,Other,0.4,Medium,Efficient Method,20
Bicycle,100,Europe,Handmade,1572357.87,Other,0.4,Medium,Efficient Method,20
Glass Bottle,50,Africa,Recycled,18214.95,Other,0.8,Very High,Efficient Method,20
Laptop,10,Asia,Industrial,93218.77,Electronics,0.7,High,Refurbished Components,35
Table,50,Europe,Recycled,251159.75,Furniture,0.4,Medium,Efficient Method,20
Plastic,20,Asia,Conventional,3837.89,Other,0.7,High,Efficient Method,20
Corn,5,Australia,Handmade,5692.17,Other,0.5,Medium,Efficient Method,20
Glass Bottle,10,Asia,Organic,3811.06,Other,0.7,High,Efficient Method,20
Bicycle,5,Asia,Conventional,69143.19,Other,0.7,High,Efficient Method,20
Leather Bag,200,North America,Handmade,3122725.21,Other,0.3,Low,Efficient Method,20
Bicycle,50,Europe,Recycled,738363.12,Other,0.4,Medium,Efficient Method,20
Cotton Shirt,20,Asia,Industrial,53477.03,Other,0.7,High,Efficient Method,20
Mobile Phone,10,Asia,Organic,11496.57,Other,0.7,High,Efficient Method,20
Cotton Shirt,200,Asia,Organic,555040.49,Other,0.7,High,Efficient Method,20
Plastic,200,Africa,Industrial,39449.21,Other,0.8,Very High,Efficient Method,20
Table,50,Africa,Handmade,274507.34,Furniture,0.8,Very High,Engineered Wood,20
Mobile Phone,20,Europe,Handmade,22449.35,Other,0.4,Medium,Efficient Method,20
Corn,10,Asia,Conventional,12759.29,Other,0.7,High,Efficient Method,20
Cotton Shirt,20,South America,Handmade,57663.07,Other,0.6,Medium-High,Efficient Method,20
Steel,100,South America,Organic,4669.0,Raw Material,0.6,Medium-High,Efficient Method,20
Corn,1,Europe,Recycled,1211.24,Other,0.4,Medium,Efficient Method,20
Mobile Phone,10,North America,Industrial,11890.88,Other,0.3,Low,Efficient Method,20
Cotton Shirt,200,Australia,Conventional,486870.22,Other,0.5,Medium,Efficient Method,20
Paper,100,North America,Recycled,912.88,Stationery,0.3,Low,Efficient Method,20
Car,5,North America,Organic,807179.65,Vehicle,0.3,Low,Efficient Method,20
Bed,100,Australia,Handmade,873015.62,Furniture,0.5,Medium,Efficient Method,20
Laptop,100,Asia,Conventional,958697.71,Electronics,0.7,High,Efficient Method,20
Car,1,Africa,Organic,142026.3,Vehicle,0.8,Very High,Efficient Method,20
Leather Bag,1,Asia,Organic,15673.14,Other,0.7,High,Efficient Method,20
Glass Bottle,50,Asia,Conventional,18072.92,Other,0.7,High,Efficient Method,20
Laptop,200,North America,Industrial,2007167.07,Electronics,0.3,Low,Refurbished Components,35
Laptop,200,Asia,Conventional,1856817.48,Electronics,0.7,High,Efficient Method,20
Laptop,5,North America,Handmade,53190.44,Electronics,0.3,Low,Efficient Method,20
Steel,10,Australia,Conventional,483.03,Raw Material,0.5,Medium,Efficient Method,20
Steel,10,Europe,Industrial,476.42,Raw Material,0.4,Medium,Recycled Steel,40
Paper,10,North America,Handmade,108.85,Stationery,0.3,Low,Efficient Method,20
Rice,100,Africa,Conventional,258600.72,Food,0.8,Very High,Efficient Method,20
Bicycle,1,Australia,Handmade,15895.37,Other,0.5,Medium,Efficient Method,20
Corn,100,Africa,Industrial,115052.9,Other,0.8,Very High,Efficient Method,20
Paper,100,Europe,Organic,1090.38,Stationery,0.4,Medium,Efficient Method,20
Steel,100,Europe,Industrial,5015.17,Raw Material,0.4,Medium,Recycled Steel,40
Leather Bag,1,North America,Recycled,17831.29,Other,0.3,Low,Efficient Method,20
Chair,100,Australia,Organic,237748.21,Other,0.5,Medium,Efficient Method,20
Bed,100,Europe,Organic,802472.06,Furniture,0.4,Medium,Efficient Method,20
Glass Bottle,200,Europe,Conventional,76265.14,Other,0.4,Medium,Efficient Method,20
Car,10,Africa,Conventional,1563202.88,Vehicle,0.8,Very High,Efficient Method,20
Almonds,10,Asia,Organic,102920.59,Other,0.7,High,Efficient Method,20
Glass Bottle,20,Africa,Organic,7339.7,Other,0.8,Very High,Efficient Method,20
Glass Bottle,50,South America,Industrial,18242.13,Other,0.6,Medium-High,Efficient Method,20
Bed,50,Australia,Handmade,378973.84,Furniture,0.5,Medium,Efficient Method,20
Almonds,1,Australia,Organic,11247.74,Other,0.5,Medium,Efficient Method,20
Bed,100,Asia,Handmade,852076.79,Furniture,0.7,High,Efficient Method,20
Glass Bottle,50,Australia,Organic,19957.73,Other,0.5,Medium,Efficient Method,20
Bed,1,North America,Conventional,7478.49,Furniture,0.3,Low,Efficient Method,20
Rice,5,Africa,Organic,12979.47,Food,0.8,Very High,Aerobic Rice Farming,35
Wheat,200,Africa,Recycled,359543.95,Other,0.8,Very High,Efficient Method,20
Bed,20,Europe,Organic,168025.87,Furniture,0.4,Medium,Efficient Method,20
Chair,50,Africa,Organic,126333.3,Other,0.8,Very High,Efficient Method,20
Corn,20,Asia,Organic,23564.37,Other,0.7,High,Efficient Method,20
Laptop,1,South America,Industrial,10850.65,Electronics,0.6,Medium-High,Refurbished Components,35
Table,50,South America,Organic,257574.17,Furniture,0.6,Medium-High,Efficient Method,20
Table,5,Asia,Recycled,25014.51,Furniture,0.7,High,Efficient Method,20
Plastic,10,Australia,Recycled,1772.3,Other,0.5,Medium,Efficient Method,20
Rice,10,Australia,Organic,24252.1,Food,0.5,Medium,Aerobic Rice Farming,35
Cotton Shirt,10,North America,Industrial,25792.53,Other,0.3,Low,Efficient Method,20
Rice,10,Europe,Organic,25740.21,Food,0.4,Medium,Aerobic Rice Farming,35
Wheat,200,North America,Recycled,362092.37,Other,0.3,Low,Efficient Method,20
Rice,200,North America,Handmade,477361.18,Food,0.3,Low,Efficient Method,20
Table,20,Europe,Conventional,95465.92,Furniture,0.4,Medium,Efficient Method,20
Almonds,200,Africa,Recycled,2353455.54,Other,0.8,Very High,Efficient Method,20
Chair,5,Africa,Conventional,11481.31,Other,0.8,Very High,Efficient Method,20
Bed,50,Europe,Recycled,433167.36,Furniture,0.4,Medium,Efficient Method,20
Car,5,Australia,Organic,710335.81,Vehicle,0.5,Medium,Efficient Method,20
Bed,5,Asia,Organic,38254.57,Furniture,0.7,High,Efficient Method,20
Sofa,200,North America,Industrial,1698757.5,Other,0.3,Low,Efficient Method,20
Car,5,North America,Industrial,773114.52,Vehicle,0.3,Low,Recycled Materials,25
Chair,50,North America,Conventional,137068.07,Other,0.3,Low,Efficient Method,20
Paper,1,Europe,Industrial,10.47,Stationery,0.4,Medium,Recycled Paper,45
Steel,200,North America,Industrial,10217.38,Raw Material,0.3,Low,Recycled Steel,40
Almonds,10,Asia,Organic,111766.48,Other,0.7,High,Efficient Method,20
Bed,200,Asia,Handmade,1464594.88,Furniture,0.7,High,Efficient Method,20
Steel,50,Asia,Organic,2467.16,Raw Material,0.7,High,Efficient Method,20
Wheat,20,Africa,Recycled,37533.64,Other,0.8,Very High,Efficient Method,20
Plastic,100,South America,Handmade,19332.88,Other,0.6,Medium-High,Efficient Method,20
Car,50,Australia,Recycled,7596972.29,Vehicle,0.5,Medium,Efficient Method,20
Tomatoes,200,Asia,Conventional,43092.34,Other,0.7,High,Efficient Method,20
Almonds,5,South America,Industrial,55057.73,Other,0.6,Medium-High,Efficient Method,20
Cotton Shirt,200,Asia,Organic,576770.61,Other,0.7,High,Efficient Method,20
Bicycle,50,Africa,Recycled,794029.09,Other,0.8,Very High,Efficient Method,20
Car,100,Europe,Conventional,15096739.78,Vehicle,0.4,Medium,Efficient Method,20
Rice,100,Australia,Organic,246320.28,Food,0.5,Medium,Aerobic Rice Farming,35
Bicycle,20,North America,Organic,276828.03,Other,0.3,Low,Efficient Method,20
Paper,50,Europe,Handmade,539.01,Stationery,0.4,Medium,Efficient Method,20
Wood,100,Australia,Organic,27125.95,Raw Material,0.5,Medium,Efficient Method,20
Plastic,200,Europe,Organic,39179.83,Other,0.4,Medium,Efficient Method,20
Bed,10,Europe,Industrial,86990.07,Furniture,0.4,Medium,Organic,25
Tomatoes,20,Europe,Recycled,3855.85,Other,0.4,Medium,Efficient Method,20
Bed,100,South America,Conventional,860247.75,Furniture,0.6,Medium-High,Efficient Method,20
Almonds,100,Africa,Conventional,1075960.33,Other,0.8,Very High,Efficient Method,20
Almonds,5,Asia,Organic,49991.0,Other,0.7,High,Efficient Method,20
Wood,10,North America,Recycled,3116.52,Raw Material,0.3,Low,Efficient Method,20
Paper,5,South America,Handmade,52.73,Stationery,0.6,Medium-High,Efficient Method,20
Car,5,South America,Handmade,757247.35,Vehicle,0.6,Medium-High,Efficient Method,20
Almonds,200,Asia,Conventional,2075490.11,Other,0.7,High,Efficient Method,20
Tomatoes,100,South America,Conventional,19429.66,Other,0.6,Medium-High,Efficient Method,20
Mobile Phone,100,South America,Organic,130855.06,Other,0.6,Medium-High,Efficient Method,20
Car,200,Europe,Handmade,28382063.11,Vehicle,0.4,Medium,Efficient Method,20
Wood,10,South America,Industrial,3220.0,Raw Material,0.6,Medium-High,Efficient Method,20
Cotton Shirt,20,Australia,Recycled,50198.4,Other,0.5,Medium,Efficient Method,20
Almonds,1,South America,Handmade,10566.6,Other,0.6,Medium-High,Efficient Method,20
Wood,5,South America,Organic,1594.75,Raw Material,0.6,Medium-High,Efficient Method,20
Bicycle,50,Australia,Handmade,763900.56,Other,0.5,Medium,Efficient Method,20
Bicycle,50,Australia,Recycled,678866.11,Other,0.5,Medium,Efficient Method,20
Paper,50,Africa,Industrial,495.7,Stationery,0.8,Very High,Recycled Paper,45
Bicycle,200,Australia,Conventional,2891884.15,Other,0.5,Medium,Efficient Method,20
Paper,10,Africa,Recycled,95.07,Stationery,0.8,Very High,Efficient Method,20
Paper,1,Australia,Conventional,10.62,Stationery,0.5,Medium,Efficient Method,20
Wood,5,Australia,Recycled,1591.95,Raw Material,0.5,Medium,Efficient Method,20
Mobile Phone,200,Australia,Conventional,251336.41,Other,0.5,Medium,Efficient Method,20
Corn,50,Europe,Handmade,65398.22,Other,0.4,Medium,Efficient Method,20
Tomatoes,50,Asia,Handmade,11440.41,Other,0.7,High,Efficient Method,20
Cotton Shirt,5,South America,Conventional,12439.33,Other,0.6,Medium-High,Efficient Method,20
Bicycle,5,South America,Recycled,80973.77,Other,0.6,Medium-High,Efficient Method,20
Wheat,200,Asia,Industrial,379808.38,Other,0.7,High,Efficient Method,20
Tomatoes,20,South America,Conventional,4511.73,Other,0.6,Medium-High,Efficient Method,20
Steel,5,North America,Industrial,254.04,Raw Material,0.3,Low,Recycled Steel,40
Steel,5,North America,Handmade,243.02,Raw Material,0.3,Low,Efficient Method,20
Almonds,200,North America,Conventional,2317649.0,Other,0.3,Low,Efficient Method,20
Tomatoes,1,Africa,Industrial,210.55,Other,0.8,Very High,Efficient Method,20
Corn,50,Europe,Handmade,60453.06,Other,0.4,Medium,Efficient Method,20
Laptop,1,Europe,Conventional,10266.63,Electronics,0.4,Medium,Efficient Method,20
Sofa,100,Europe,Organic,909823.62,Other,0.4,Medium,Efficient Method,20
Wood,50,Europe,Recycled,14369.34,Raw Material,0.4,Medium,Efficient Method,20
Glass Bottle,10,Europe,Organic,3653.49,Other,0.4,Medium,Efficient Method,20
Cotton Shirt,200,Australia,Conventional,502110.42,Other,0.5,Medium,Efficient Method,20
Cotton Shirt,50,Africa,Recycled,141154.7,Other,0.8,Very High,Efficient Method,20
Sofa,20,Australia,Organic,185556.36,Other,0.5,Medium,Efficient Method,20
Steel,10,North America,Organic,456.05,Raw Material,0.3,Low,Efficient Method,20
Sofa,1,Australia,Recycled,9813.31,Other,0.5,Medium,Efficient Method,20
Almonds,100,Europe,Recycled,1123013.12,Other,0.4,Medium,Efficient Method,20
Wheat,100,Africa,Conventional,187620.32,Other,0.8,Very High,Efficient Method,20
Cotton Shirt,10,Australia,Recycled,29674.13,Other,0.5,Medium,Efficient Method,20
Bicycle,1,North America,Recycled,16253.55,Other,0.3,Low,Efficient Method,20
Rice,5,Australia,Recycled,13126.32,Food,0.5,Medium,Efficient Method,20
Laptop,200,North America,Industrial,2103406.9,Electronics,0.3,Low,Refurbished Components,35
Mobile Phone,200,North America,Industrial,236417.81,Other,0.3,Low,Efficient Method,20
Corn,200,Australia,Organic,228226.57,Other,0.5,Medium,Efficient Method,20
Mobile Phone,50,Europe,Industrial,63925.5,Other,0.4,Medium,Efficient Method,20
Mobile Phone,50,Europe,Conventional,65430.72,Other,0.4,Medium,Efficient Method,20
Laptop,1,Europe,Conventional,10005.24,Electronics,0.4,Medium,Efficient Method,20
Glass Bottle,200,Australia,Conventional,79836.04,Other,0.5,Medium,Efficient Method,20
Leather Bag,50,Asia,Conventional,874007.94,Other,0.7,High,Efficient Method,20
Almonds,1,Australia,Organic,10245.74,Other,0.5,Medium,Efficient Method,20
Wheat,20,South America,Recycled,33931.84,Other,0.6,Medium-High,Efficient Method,20
Bicycle,10,Europe,Handmade,149467.48,Other,0.4,Medium,Efficient Method,20
Steel,20,North America,Conventional,1057.55,Raw Material,0.3,Low,Efficient Method,20
Wheat,200,North America,Organic,388178.57,Other,0.3,Low,Efficient Method,20
Laptop,10,North America,Recycled,109242.29,Electronics,0.3,Low,Efficient Method,20
Bicycle,20,North America,Industrial,303554.55,Other,0.3,Low,Efficient Method,20
Plastic,20,Africa,Handmade,3402.32,Other,0.8,Very High,Efficient Method,20
Rice,100,Africa,Industrial,248606.07,Food,0.8,Very High,Efficient Method,20
Glass Bottle,200,Africa,Organic,69449.37,Other,0.8,Very High,Efficient Method,20
Chair,20,Asia,Industrial,52726.76,Other,0.7,High,Efficient Method,20
Mobile Phone,50,Africa,Handmade,56828.76,Other,0.8,Very High,Efficient Method,20
Wood,10,South America,Recycled,3218.84,Raw Material,0.6,Medium-High,Efficient Method,20
Mobile Phone,20,Asia,Recycled,23766.64,Other,0.7,High,Efficient Method,20
Mobile Phone,20,North America,Industrial,24724.77,Other,0.3,Low,Efficient Method,20
Tomatoes,200,South America,Recycled,42516.1,Other,0.6,Medium-High,Efficient Method,20
Tomatoes,200,Australia,Conventional,39049.17,Other,0.5,Medium,Efficient Method,20
Leather Bag,50,Europe,Handmade,933186.74,Other,0.4,Medium,Efficient Method,20
Cotton Shirt,5,Africa,Industrial,13016.05,Other,0.8,Very High,Efficient Method,20
Almonds,100,Australia,Recycled,1161294.81,Other,0.5,Medium,Efficient Method,20
Mobile Phone,50,South America,Conventional,54205.52,Other,0.6,Medium-High,Efficient Method,20
Sofa,200,North America,Conventional,1686433.55,Other,0.3,Low,Efficient Method,20
Mobile Phone,100,Africa,Industrial,121204.69,Other,0.8,Very High,Efficient Method,20
Mobile Phone,20,Asia,Recycled,21968.95,Other,0.7,High,Efficient Method,20
Glass Bottle,20,South America,Industrial,7734.08,Other,0.6,Medium-High,Efficient Method,20
Table,50,South America,Recycled,242784.49,Furniture,0.6,Medium-High,Efficient Method,20
Cotton Shirt,200,Australia,Recycled,554486.7,Other,0.5,Medium,Efficient Method,20
Bed,10,Europe,Industrial,78169.1,Furniture,0.4,Medium,Organic,25
Car,1,North America,Recycled,147592.78,Vehicle,0.3,Low,Efficient Method,20
Plastic,20,Asia,Recycled,3465.56,Other,0.7,High,Efficient Method,20
Glass Bottle,200,South America,Conventional,70392.13,Other,0.6,Medium-High,Efficient Method,20
Laptop,10,Europe,Organic,94126.64,Electronics,0.4,Medium,Efficient Method,20
Paper,1,Asia,Organic,9.23,Stationery,0.7,High,Efficient Method,20
Cotton Shirt,1,Asia,Recycled,2691.79,Other,0.7,High,Efficient Method,20
Tomatoes,1,Africa,Conventional,221.89,Other,0.8,Very High,Efficient Method,20
Tomatoes,5,South America,Industrial,997.36,Other,0.6,Medium-High,Efficient Method,20
Tomatoes,200,South America,Recycled,44437.2,Other,0.6,Medium-High,Efficient Method,20
Mobile Phone,10,Asia,Organic,10974.25,Other,0.7,High,Efficient Method,20
Sofa,1,Africa,Organic,8979.85,Other,0.8,Very High,Efficient Method,20
Corn,5,Europe,Conventional,6570.96,Other,0.4,Medium,Efficient Method,20
Plastic,100,Africa,Recycled,16740.02,Other,0.8,Very High,Efficient Method,20
Bed,10,North America,Organic,84298.18,Furniture,0.3,Low,Efficient Method,20
Plastic,5,South America,Handmade,902.07,Other,0.6,Medium-High,Efficient Method,20
Laptop,20,South America,Conventional,195280.51,Electronics,0.6,Medium-High,Efficient Method,20
Corn,1,Australia,Recycled,1240.68,Other,0.5,Medium,Efficient Method,20
Paper,5,Asia,Handmade,50.44,Stationery,0.7,High,Efficient Method,20
Bicycle,10,South America,Recycled,146889.95,Other,0.6,Medium-High,Efficient Method,20
Wood,50,Asia,Industrial,15010.51,Raw Material,0.7,High,Efficient Method,20
Table,5,South America,Conventional,27488.64,Furniture,0.6,Medium-High,Efficient Method,20
Chair,100,Australia,Conventional,261332.12,Other,0.5,Medium,Efficient Method,20
Almonds,10,South America,Conventional,112744.66,Other,0.6,Medium-High,Efficient Method,20
Laptop,1,Africa,Recycled,9723.45,Electronics,0.8,Very High,Efficient Method,20
Wheat,100,Africa,Recycled,173170.92,Other,0.8,Very High,Efficient Method,20
Glass Bottle,1,South America,Industrial,410.9,Other,0.6,Medium-High,Efficient Method,20
Rice,1,Africa,Conventional,2427.36,Food,0.8,Very High,Efficient Method,20
Rice,50,North America,Handmade,118348.53,Food,0.3,Low,Efficient Method,20
Tomatoes,10,Asia,Recycled,2229.2,Other,0.7,High,Efficient Method,20
Laptop,1,South America,Recycled,10527.0,Electronics,0.6,Medium-High,Efficient Method,20
Leather Bag,20,South America,Recycled,313976.51,Other,0.6,Medium-High,Efficient Method,20
Mobile Phone,1,Australia,Organic,1114.35,Other,0.5,Medium,Efficient Method,20
Bicycle,100,North America,Conventional,1534568.61,Other,0.3,Low,Efficient Method,20
Car,100,North America,Recycled,13877297.8,Vehicle,0.3,Low,Efficient Method,20
Sofa,10,Asia,Recycled,93998.2,Other,0.7,High,Efficient Method,20
Almonds,5,Australia,Handmade,56347.33,Other,0.5,Medium,Efficient Method,20
Bed,10,Europe,Handmade,72263.42,Furniture,0.4,Medium,Efficient Method,20
Plastic,10,Africa,Recycled,1892.75,Other,0.8,Very High,Efficient Method,20
Car,50,Australia,Recycled,8173227.05,Vehicle,0.5,Medium,Efficient Method,20
Almonds,20,Africa,Recycled,231485.17,Other,0.8,Very High,Efficient Method,20
Mobile Phone,1,North America,Conventional,1176.65,Other,0.3,Low,Efficient Method,20
Car,20,South America,Handmade,2932251.73,Vehicle,0.6,Medium-High,Efficient Method,20
Chair,5,South America,Recycled,11756.25,Other,0.6,Medium-High,Efficient Method,20
Wood,1,South America,Organic,286.49,Raw Material,0.6,Medium-High,Efficient Method,20
Bicycle,5,South America,Conventional,82070.73,Other,0.6,Medium-High,Efficient Method,20
Rice,20,Australia,Organic,52783.56,Food,0.5,Medium,Aerobic Rice Farming,35
Wood,50,Africa,Recycled,16423.8,Raw Material,0.8,Very High,Efficient Method,20
Tomatoes,5,Europe,Conventional,1127.31,Other,0.4,Medium,Efficient Method,20
Steel,200,Africa,Industrial,10887.41,Raw Material,0.8,Very High,Recycled Steel,40
Chair,20,Europe,Organic,52684.6,Other,0.4,Medium,Efficient Method,20
Laptop,10,Europe,Handmade,105929.71,Electronics,0.4,Medium,Efficient Method,20
Table,200,Asia,Organic,946100.39,Furniture,0.7,High,Efficient Method,20
Glass Bottle,100,Australia,Conventional,39419.63,Other,0.5,Medium,Efficient Method,20
Corn,50,Asia,Conventional,59553.84,Other,0.7,High,Efficient Method,20
Tomatoes,10,Europe,Recycled,1962.78,Other,0.4,Medium,Efficient Method,20
Paper,50,Australia,Recycled,450.47,Stationery,0.5,Medium,Efficient Method,20
Table,5,Asia,Recycled,24046.54,Furniture,0.7,High,Efficient Method,20
Steel,5,South America,Organic,236.12,Raw Material,0.6,Medium-High,Efficient Method,20
Leather Bag,100,South America,Handmade,1718750.6,Other,0.6,Medium-High,Efficient Method,20
Mobile Phone,100,Asia,Handmade,114315.37,Other,0.7,High,Efficient Method,20
Leather Bag,200,Asia,Organic,3084545.45,Other,0.7,High,Efficient Method,20
Leather Bag,200,Australia,Conventional,3705245.64,Other,0.5,Medium,Efficient Method,20
Rice,1,Asia,Conventional,2731.95,Food,0.7,High,Efficient Method,20
Bed,100,Asia,Organic,729366.96,Furniture,0.7,High,Efficient Method,20
Cotton Shirt,5,Asia,Organic,14042.2,Other,0.7,High,Efficient Method,20
Mobile Phone,10,Australia,Industrial,11381.24,Other,0.5,Medium,Efficient Method,20
Tomatoes,50,Europe,Industrial,10446.58,Other,0.4,Medium,Efficient Method,20
Table,20,Australia,Organic,106252.48,Furniture,0.5,Medium,Efficient Method,20
Wheat,1,Australia,Recycled,1721.57,Other,0.5,Medium,Efficient Method,20
Glass Bottle,10,Africa,Industrial,3620.19,Other,0.8,Very High,Efficient Method,20
Bicycle,10,North America,Organic,146062.95,Other,0.3,Low,Efficient Method,20
Leather Bag,100,North America,Recycled,1788715.37,Other,0.3,Low,Efficient Method,20
Laptop,1,Africa,Industrial,10611.53,Electronics,0.8,Very High,Refurbished Components,35
Glass Bottle,100,South America,Industrial,37598.7,Other,0.6,Medium-High,Efficient Method,20
Corn,200,Asia,Industrial,256396.42,Other,0.7,High,Efficient Method,20
Chair,1,South America,Recycled,2525.39,Other,0.6,Medium-High,Efficient Method,20
Sofa,20,Australia,Recycled,185362.96,Other,0.5,Medium,Efficient Method,20
Steel,50,North America,Industrial,2430.87,Raw Material,0.3,Low,Recycled Steel,40
Rice,1,Australia,Organic,2344.27,Food,0.5,Medium,Aerobic Rice Farming,35
Tomatoes,50,Asia,Industrial,10856.87,Other,0.7,High,Efficient Method,20
Wood,20,South America,Organic,6284.12,Raw Material,0.6,Medium-High,Efficient Method,20
Sofa,10,Asia,Industrial,87310.65,Other,0.7,High,Efficient Method,20
